0	test_map	Map de test
1	light_world	Monde extérieur
2	overworld	Overworld
2	game_over	Game Over
3	entities/block	Block
3	entities/chest	Chest
4	arrow_hit	arrow_hit
4	boomerang	boomerang
4	boss_fireball	boss_fireball
4	boss_hurt	boss_hurt
4	boss_killed	boss_killed
4	bow	bow
4	bush	bush
4	cane	cane
4	chest_open	chest_open
4	cursor	cursor
4	danger	danger
4	door_closed	door_closed
4	door_open	door_open
4	door_unlocked	door_unlocked
4	enemy_hurt	enemy_hurt
4	enemy_killed	enemy_killed
4	explosion	explosion
4	heart_container	heart_container
4	heart	heart
4	hero_dying	hero_dying
4	hero_falls	hero_falls
4	hero_hurt	hero_hurt
4	hero_lands	hero_lands
4	hero_pushes	hero_pushes
4	hero_seen	hero_seen
4	hookshot	hookshot
4	jump	jump
4	lift	lift
4	message_end	message_end
4	message_letter	message_letter
4	ok	ok
4	picked_item	picked_item
4	running	running
4	shield	shield
4	splash	splash
4	stairs_down_end	stairs_down_end
4	stairs_down_start	stairs_down_start
4	stairs_up_end	stairs_up_end
4	stairs_up_start	stairs_up_start
4	stone	stone
4	swim	swim
4	switch	switch
4	sword1	sword1
4	sword2	sword2
4	sword3	sword3
4	sword4	sword4
4	sword_spin_attack_load	sword_spin_attack_load
4	sword_spin_attack_release	sword_spin_attack_release
4	sword_tapping	sword_tapping
4	sword_tapping_weak_wall	sword_tapping_weak_wall
4	throw	throw
4	timer_hurry	timer_hurry
4	timer	timer
4	treasure	treasure
4	victory	victory
4	walk_on_grass	walk_on_grass
4	walk_on_water	walk_on_water
4	warp	warp
4	wrong	wrong
5	heart	Coeur
5	shield	Bouclier
5	sword	Epée
